trial_id	run_path	giga_image	vrb_image	is_annotated	corrupted	num_same	giga_pos_modes	giga_dir_modes	giga_num_false_positives	vrb_pos_modes	vrb_dir_modes	vrb_num_false_positives
23-12-08-07-27-07_round_000_trial_000	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-07	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-07/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-07/vrb/round_000_trial_000.png	True	False	0.0	1,0,0,0	1,0,0,0	0.0	0,3,0,1	0,2,0,2	0.0
23-12-08-07-27-07_round_000_trial_001	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-07	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-07/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-07/vrb/round_000_trial_001.png	True	False	0.0	0,0,0	0,0,0	0.0	3,0,2	1,0,3	0.0
23-12-08-07-27-07_round_000_trial_002	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-07	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-07/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-07/vrb/round_000_trial_002.png	True	False	0.0	0,0,0	1,0,0	1.0	3,0,3	1,0,4	0.0
23-12-08-07-27-31_round_000_trial_000	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-31	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-31/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-31/vrb/round_000_trial_000.png	True	False	2.0	1,0,0,0,1	0,0,0,0,1	0.0	1,0,0,1,3	1,0,0,1,2	0.0
23-12-08-07-27-31_round_000_trial_001	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-31	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-31/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-31/vrb/round_000_trial_001.png	True	False	2.0	1,0,0,1	1,0,0,0	0.0	1,2,0,1	1,1,0,1	0.0
23-12-08-07-27-31_round_000_trial_002	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-31	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-31/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-31/vrb/round_000_trial_002.png	True	False	1.0	1,0,0,0	0,0,0,1	1.0	1,2,0,3	2,2,0,1	0.0
23-12-08-07-27-23_round_000_trial_000	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-23	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-23/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-23/vrb/round_000_trial_000.png	True	False	1.0	0,1,0,0,0	0,1,0,0,0	0.0	2,2,0,3,0	2,1,0,1,0	0.0
23-12-08-07-27-23_round_000_trial_001	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-23	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-23/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-23/vrb/round_000_trial_001.png	True	False	1.0	0,1,0	0,1,0	0.0	1,3,0	2,2,0	0.0
23-12-08-07-27-23_round_000_trial_002	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-23	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-23/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-23/vrb/round_000_trial_002.png	True	False	1.0	0,1,0	0,1,0	1.0	1,3,0	1,3,0	0.0
23-12-08-07-27-13_round_000_trial_004	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-13	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-13/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/top_exp/23-12-08-07-27-13/vrb/round_000_trial_000.png	False	True		3,0,0,0,0	2	1.0	1,1	2,1	0.0
