trial_id	run_path	giga_image	vrb_image	is_annotated	num_same	giga_pos_modes	giga_dir_modes	giga_num_false_positives	vrb_pos_modes	vrb_dir_modes	vrb_num_false_positives	corrupted
23-12-07-04-17-33_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/vrb/round_000_trial_000.png	True	1.0	1,1,0,0,0	0,1,0,0,0	0.0	3,0,1,0,1	2,0,1,0,1	0.0	False
23-12-07-04-17-33_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/vrb/round_000_trial_001.png	True	0.0	0,0,0	0,1,0	0.0	1,1,1	1,1,1	0.0	False
23-12-07-04-17-33_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-33/vrb/round_000_trial_002.png	True	0.0	0,0,0	1,0,0	0.0	2,1,0	4,1,0	0.0	False
23-12-07-04-16-11_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_000.png	True	2.0	1,1,2,0,0	0,0,1,0,0	0.0	0,1,2,0,2	0,1,1,0,1	0.0	False
23-12-07-04-16-11_round_000_trial_005	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_001.png	True	0.0	0,1,0,0	0,1,0,0	0.0	0,0,0,1	0,4,0,1	0.0	False
23-12-07-04-16-11_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_002.png	True	1.0	1,0,0	1,0,0	0.0	1,1,0	1,4,0	0.0	False
23-12-07-04-16-11_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_003.png	True	0.0	0,0	1,0	0.0	1,3	1,1	0.0	False
23-12-07-04-16-11_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_004.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_004.png	True	0.0	0,0	1,0	0.0	1,2	3,1	0.0	False
23-12-07-04-16-11_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/grasp_images/round_000_trial_005.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-11/vrb/round_000_trial_005.png	True	0.0	0	0	0.0	3	1	0.0	False
23-12-07-04-16-18_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_000.png	True	0.0	1,1,0,0,0	0,1,0,0,0	0.0	0,0,1,2,1	0,0,1,1,2	0.0	False
23-12-07-04-16-18_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_001.png	True	1.0	1,0,2,0	1,0,0,0	0.0	0,0,2,1	0,0,2,3	0.0	False
23-12-07-04-16-18_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_002.png	True	0.0	0,0,0	0,1,0	0.0	0,3,3	0,3,1	0.0	False
23-12-07-04-16-18_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_003.png	True	0.0	0,0	1,0	0.0	1,3	2,3	0.0	False
23-12-07-04-16-18_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/grasp_images/round_000_trial_004.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-18/vrb/round_000_trial_004.png	True	0.0	0	0	0.0	2	4	0.0	False
23-12-07-04-17-39_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/vrb/round_000_trial_000.png	True	0.0	0,0,0,2	0,0,0,1	0.0	0,2,2,0	0,1,2,0	0.0	False
23-12-07-04-17-39_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/vrb/round_000_trial_001.png	True	0.0	0,0,0	0,1,0	0.0	0,3,2	0,2,1	0.0	False
23-12-07-04-17-39_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-39/vrb/round_000_trial_002.png	True	0.0	0,0	0,0	0.0	1,3	1,1	0.0	False
