trial_id	run_path	giga_image	vrb_image	is_annotated	corrupted	num_same	giga_pos_modes	giga_dir_modes	giga_num_false_positives	vrb_pos_modes	vrb_dir_modes	vrb_num_false_positives
23-12-08-07-29-22_round_000_trial_001	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-22	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-22/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-22/vrb/round_000_trial_000.png	True	False	2.0	0,1,0,0,2	0,1,0,0,0	0.0	0,3,0,2,2	0,1,0,1,2	0.0
23-12-08-07-29-22_round_000_trial_002	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-22	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-22/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-22/vrb/round_000_trial_001.png	True	False	1.0	0,0,0,1	0,0,0,1	0.0	0,0,1,2	0,0,2,2	0.0
23-12-08-07-29-22_round_000_trial_000	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-22	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-22/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-22/vrb/round_000_trial_002.png	True	False	1.0	0,0,0,1	0,0,0,1	1.0	0,0,1,3	0,0,2,2	0.0
23-12-08-07-29-13_round_000_trial_001	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-13	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-13/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-13/vrb/round_000_trial_000.png	True	False	1.0	0,1,1,0,0	0,1,1,0,0	2.0	1,1,0,0,2	2,2,0,0,1	0.0
23-12-08-07-29-13_round_000_trial_000	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-13	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-13/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-13/vrb/round_000_trial_001.png	True	False	1.0	0,1,1,0,0	0,1,0,0,0	0.0	1,1,0,0,2	2,2,0,0,1	0.0
23-12-08-07-29-14_round_000_trial_001	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-14	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-14/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-14/vrb/round_000_trial_000.png	True	False	1.0	0,0,1,0,0	0,0,1,0,0	1.0	1,0,1,0,1	2,0,1,0,1	0.0
23-12-08-07-29-14_round_000_trial_000	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-14	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-14/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-14/vrb/round_000_trial_001.png	True	False	1.0	0,0,1,0,0	0,0,1,0,0	1.0	1,0,1,0,1	2,0,1,0,1	0.0
23-12-08-07-29-24_round_000_trial_001	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-24	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-24/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-24/vrb/round_000_trial_000.png	False	True		1,0,0,0,0	1,0,0,0,0	0.0	1,1,0,3	1,1,0,2	0.0
23-12-08-07-29-24_round_000_trial_002	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-24	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-24/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-24/vrb/round_000_trial_001.png	True	False	0.0	0,0,0,1	0,0,0,1	1.0	1,0,1,0	3,0,1,0	0.0
23-12-08-07-29-24_round_000_trial_000	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-24	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-24/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-24/vrb/round_000_trial_002.png	True	False	0.0	0,0,0	0,0,0	0.0	1,0,1	3,0,1	0.0
23-12-08-07-29-26_round_000_trial_001	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-26	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-26/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-26/vrb/round_000_trial_000.png	True	False	0.0	0,0,0	1,0,0	1.0	1,1,0	2,1,0	0.0
23-12-08-07-29-26_round_000_trial_000	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-26	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-26/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-26/vrb/round_000_trial_001.png	True	False	0.0	0,0,0	0,0,0	0.0	0,1,1	0,3,2	0.0
23-12-08-07-29-19_round_000_trial_001	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-19	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-19/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-19/vrb/round_000_trial_000.png	True	False	1.0	0,0,0,0,1	0,0,0,0,1	0.0	1,0,1,0,3	1,0,1,0,1	0.0
23-12-08-07-29-19_round_000_trial_000	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-19	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-19/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-19/vrb/round_000_trial_001.png	True	False	1.0	0,0,0,0,1	0,0,0,0,1	0.0	1,0,1,0,3	1,0,1,0,3	0.0
23-12-08-07-29-21_round_000_trial_001	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-21	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-21/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-21/vrb/round_000_trial_000.png	True	False	0.0	1,0,0,0	1,0,0,0	0.0	0,1,0,1	0,2,0,1	0.0
23-12-08-07-29-21_round_000_trial_000	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-21	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-21/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-21/vrb/round_000_trial_001.png	True	False	0.0	1,0,0,0	1,0,0,0	1.0	0,1,0,1	0,3,0,2	0.0
23-12-08-07-29-10_round_000_trial_001	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-10	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-10/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-10/vrb/round_000_trial_000.png	True	False	1.0	0,0,1	0,0,1	0.0	1,1,3	2,2,1	0.0
23-12-08-07-29-10_round_000_trial_002	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-10	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-10/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/horizontal_exp/23-12-08-07-29-10/vrb/round_000_trial_001.png	True	False	0.0	0,0	1,0	1.0	1,1	2,2	0.0
